cpse,material_code,description
ONGC,ONGC-1459,VAVLE GATE 2 INCH 300# SS316
NTPC,NTPC-1460,VAVLE GATE 2 INCH 300# WCB
ONGC,ONGC-1461,VAVLE GATE 2 INCH 300# WCB
NTPC,NTPC-1462,"VALVE GATE 2 "" 600# CS"
CPCL,CPCL-1463,VALVE GATE 2 INCH 600#
SAIL,SAIL-1464,"VALVE GATE 2 "" 600# CS"
SAIL,SAIL-1465,600# SS316 VALVE GATE 2 INCH
NTPC,NTPC-1466,VALVE GATE 2 INCH 600#
BHEL,BHEL-1467,VAVLE GATE 2 INCH 600# SS316
CPCL,CPCL-1468,600# WCB VALVE GATE 2 INCH
NTPC,NTPC-1469,VALVE GATE 2 INCH 600#
BHEL,BHEL-1470,VALVE GATE 4 INCH 150# CS
ONGC,ONGC-1471,"VALVE GATE 4 "" 150# CS"
CPCL,CPCL-1472,150# CS VALVE GATE 4 INCH
NTPC,NTPC-1473,VALVE GATE 4 INCH 150#
CPCL,CPCL-1474,150# SS316 VALVE GATE 4 INCH
SAIL,SAIL-1475,"VALVE GATE 4 "" 150# WCB"
NTPC,NTPC-1476,"VALVE GATE 4 "" 150# WCB"
ONGC,ONGC-1477,300# CS VALVE GATE 4 INCH
SAIL,SAIL-1478,VAVLE GATE 4 INCH 300# CS
NTPC,NTPC-1479,VALVE GATE 4 INCH 300# SS316
NTPC,NTPC-1480,VALVE GATE 4 INCH 300#
NTPC,NTPC-1481,VALVE GATE 4 INCH 600#
ONGC,ONGC-1482,VALVE GATE 4 INCH 600#
SAIL,SAIL-1483,VAVLE GATE 4 INCH 600# SS316
CPCL,CPCL-1484,"VALVE GATE 4 "" 600# SS316"
SAIL,SAIL-1485,"VALVE GATE 4 "" 600# WCB"
NTPC,NTPC-1486,VALVE GATE 4 INCH 600#
CPCL,CPCL-1487,VAVLE GATE 4 INCH 600# WCB
NTPC,NTPC-1488,VALVE GATE 6 INCH 150#
ONGC,ONGC-1489,VALVE GATE 6 INCH 150#
CPCL,CPCL-1490,150# WCB VALVE GATE 6 INCH
ONGC,ONGC-1491,"VALVE GATE 6 "" 300# CS"
CPCL,CPCL-1492,VAVLE GATE 6 INCH 300# SS316
NTPC,NTPC-1493,VALVE GATE 6 INCH 300# SS316
CPCL,CPCL-1494,"VALVE GATE 6 "" 300# WCB"
SAIL,SAIL-1495,300# WCB VALVE GATE 6 INCH
ONGC,ONGC-1496,VALVE GATE 6 INCH 300#
BHEL,BHEL-1497,VALVE GATE 6 INCH 600# CS
SAIL,SAIL-1498,600# CS VALVE GATE 6 INCH
CPCL,CPCL-1499,600# CS VALVE GATE 6 INCH
BHEL,BHEL-1500,VALVE GATE 6 INCH 600#
ONGC,ONGC-1501,VALVE GATE 6 INCH 600#
SAIL,SAIL-1502,VALVE GATE 6 INCH 600#
NTPC,NTPC-1503,150# SS316 VALVE BALL 1 INCH
NTPC,NTPC-1504,VAVLE BALL 1 INCH 150# A105
SAIL,SAIL-1505,VAVLE BALL 1 INCH 150# A105
SAIL,SAIL-1506,"VALVE BALL 1 "" 800# SS316"
NTPC,NTPC-1507,VAVLE BALL 1 INCH 800# SS316
NTPC,NTPC-1508,"VALVE BALL 1 "" 800# A105"
ONGC,ONGC-1509,150# SS316 VALVE BALL 2 INCH
CPCL,CPCL-1510,"VALVE BALL 2 "" 150# A105"
ONGC,ONGC-1511,VALVE BALL 2 INCH 800#
NTPC,NTPC-1512,VAVLE BALL 2 INCH 800# SS316
BHEL,BHEL-1513,VALVE BALL 2 INCH 800# SS316
SAIL,SAIL-1514,"VALVE BALL 2 "" 800# A105"
NTPC,NTPC-1515,VALVE BALL 2 INCH 800#
ONGC,ONGC-1516,800# A105 VALVE BALL 2 INCH
SAIL,SAIL-1517,FLANGE WNRF 2 INCH 150# CS
NTPC,NTPC-1518,"FLANGE WNRF 2 "" 150# CS"
CPCL,CPCL-1519,"FLANGE WNRF 2 "" 150# CS"
NTPC,NTPC-1520,FLANGE WNRF 2 INCH 150# SS304
SAIL,SAIL-1521,FLANGE WNRF 2 INCH 150#
ONGC,ONGC-1522,FLANGE WNRF 2 INCH 150# SS304
NTPC,NTPC-1523,FLANGE WNRF 2 INCH 300# CS
CPCL,CPCL-1524,FLANGE WNRF 2 INCH 300#
NTPC,NTPC-1525,FLANGE WNRF 2 INCH 300# SS304
CPCL,CPCL-1526,FLANGE WNRF 4 INCH 150# CS
ONGC,ONGC-1527,FLANGE WNRF 4 INCH 150# CS
ONGC,ONGC-1528,"FLANGE WNRF 4 "" 150# SS304"
CPCL,CPCL-1529,"FLANGE WNRF 4 "" 150# SS304"
CPCL,CPCL-1530,FLANGE WNRF 4 INCH 300#
NTPC,NTPC-1531,300# CS FLANGE WNRF 4 INCH
BHEL,BHEL-1532,FLANGE WNRF 4 INCH 300# CS
ONGC,ONGC-1533,FLANGE WNRF 4 INCH 300#
NTPC,NTPC-1534,"FLANGE WNRF 6 "" 150# CS"
CPCL,CPCL-1535,FLANGE WNRF 6 INCH 150# SS304
NTPC,NTPC-1536,"FLANGE WNRF 6 "" 150# SS304"
SAIL,SAIL-1537,"FLANGE WNRF 6 "" 150# SS304"
CPCL,CPCL-1538,FLANGE WNRF 6 INCH 300# CS
NTPC,NTPC-1539,300# CS FLANGE WNRF 6 INCH
CPCL,CPCL-1540,FLANGE WNRF 6 INCH 300#
SAIL,SAIL-1541,CABLE POWER 3C X 2.5 SQMM CU XLPE
ONGC,ONGC-1542,CABLE POWER 3C X 2.5 SQMM CU XLPE
CPCL,CPCL-1543,CABLE POWER 3C X 2.5 SQMM CU XLPE
BHEL,BHEL-1544,AL XLPE CABLE POWER 3C X 2.5 SQMM
NTPC,NTPC-1545,CABLE POWER 3C X 2.5 SQ AL XLPE
BHEL,BHEL-1546,CABLE POWER 3C X 2.5 SQMM CU
ONGC,ONGC-1547,CABLE POWER 3C X 2.5 SQMM CU
ONGC,ONGC-1548,CU XLPE CABLE POWER 4C X 4 SQMM
CPCL,CPCL-1549,CU XLPE CABLE POWER 4C X 4 SQMM
SAIL,SAIL-1550,CABLE POWER 4C X 4 SQ CU XLPE
ONGC,ONGC-1551,CABLE POWER 4C X 4 SQMM AL XLPE
BHEL,BHEL-1552,CU PVC CABLE POWER 4C X 4 SQMM
CPCL,CPCL-1553,CABLE POWER 4C X 4 SQMM CU
SAIL,SAIL-1554,CABLE POWER 3.5C X 35 SQMM CU
BHEL,BHEL-1555,CABLE POWER 3.5C X 35 SQ CU XLPE
CPCL,CPCL-1556,CABLE POWER 3.5C X 35 SQMM CU XLPE
CPCL,CPCL-1557,CABLE POWER 3.5C X 35 SQMM AL XLPE
ONGC,ONGC-1558,AL XLPE CABLE POWER 3.5C X 35 SQMM
SAIL,SAIL-1559,CABLE POWER 3.5C X 35 SQMM AL XLPE
ONGC,ONGC-1560,CABLE POWER 3.5C X 35 SQMM CU PVC
BHEL,BHEL-1561,CABLE POWER 3.5C X 35 SQMM CU PVC
CPCL,CPCL-1562,MOTOR SQUIRREL CAGE 5KW 415V IP55
SAIL,SAIL-1563,MOTOR SQUIRREL CAGE 5KW 415V IP55
BHEL,BHEL-1564,MOTOR SQUIRREL CAGE 5KW 415V IP55
ONGC,ONGC-1565,415V IP65 MOTOR SQUIRREL CAGE 5KW
SAIL,SAIL-1566,MOTOR SQUIRREL CAGE 5KW 415V
NTPC,NTPC-1567,MOTOR SQUIRREL CAGE 5KW 690V
BHEL,BHEL-1568,MOTOR SQUIRREL CAGE 5KW 690V IP65
BHEL,BHEL-1569,MOTOR SQUIRREL CAGE 15KW 415V IP55
NTPC,NTPC-1570,MOTOR SQUIRREL CAGE 15KW 415V IP55
ONGC,ONGC-1571,MOTOR SQUIRREL CAGE 15KW 415V IP55
ONGC,ONGC-1572,MOTOR SQUIRREL CAGE 15KW 415V IP65
SAIL,SAIL-1573,MOTOR SQUIRREL CAGE 15KW 415V IP65
NTPC,NTPC-1574,MOTOR SQUIRREL CAGE 15KW 415V
ONGC,ONGC-1575,MOTOR SQUIRREL CAGE 15KW 690V IP55
ONGC,ONGC-1576,690V IP65 MOTOR SQUIRREL CAGE 15KW
CPCL,CPCL-1577,MOTOR SQUIRREL CAGE 22KW 415V
NTPC,NTPC-1578,415V IP65 MOTOR SQUIRREL CAGE 22KW
ONGC,ONGC-1579,MOTOR SQUIRREL CAGE 22KW 415V IP65
CPCL,CPCL-1580,MOTOR SQUIRREL CAGE 22KW 690V
ONGC,ONGC-1581,MOTOR SQUIRREL CAGE 22KW 690V IP55
NTPC,NTPC-1582,MOTOR SQUIRREL CAGE 22KW 690V IP55
SAIL,SAIL-1583,690V IP65 MOTOR SQUIRREL CAGE 22KW
NTPC,NTPC-1584,MOTOR SQUIRREL CAGE 22KW 690V IP65
ONGC,ONGC-1585,MOTOR SQUIRREL CAGE 30KW 415V
ONGC,ONGC-1586,MOTOR SQUIRREL CAGE 30KW 415V
NTPC,NTPC-1587,MOTOR SQUIRREL CAGE 30KW 690V IP55
BHEL,BHEL-1588,690V IP55 MOTOR SQUIRREL CAGE 30KW
ONGC,ONGC-1589,MOTOR SQUIRREL CAGE 30KW 690V IP55
SAIL,SAIL-1590,MOTOR SQUIRREL CAGE 30KW 690V IP65
NTPC,NTPC-1591,MOTOR SQUIRREL CAGE 30KW 690V IP65
BHEL,BHEL-1592,MOTOR SQUIRREL CAGE 30KW 690V IP65
NTPC,NTPC-1593,BEARING BALL 6205 ZZ
CPCL,CPCL-1594,6205 ZZ BEARING BALL
BHEL,BHEL-1595,6205 ZZ BEARING BALL
SAIL,SAIL-1596,BEARING BALL 6205 2RS
NTPC,NTPC-1597,BEARING BALL 6205 2RS
ONGC,ONGC-1598,BEARING BALL 6205 2RS
ONGC,ONGC-1599,BEARING BALL 6205 OPEN
NTPC,NTPC-1600,BEARING BALL 6205 OPEN
SAIL,SAIL-1601,BEARING BALL 6205 OPEN
NTPC,NTPC-1602,BEARING BALL 6206 ZZ
CPCL,CPCL-1603,BEARING BALL 6206
SAIL,SAIL-1604,BEARING BALL 6206 ZZ
NTPC,NTPC-1605,BEARING BALL 6206
BHEL,BHEL-1606,6206 2RS BEARING BALL
CPCL,CPCL-1607,6206 2RS BEARING BALL
ONGC,ONGC-1608,BEARING BALL 6206 OPEN
CPCL,CPCL-1609,6206 OPEN BEARING BALL
NTPC,NTPC-1610,BEARING BALL 6206 OPEN
NTPC,NTPC-1611,BEARING BALL 6305 ZZ
BHEL,BHEL-1612,BEARING BALL 6305 2RS
CPCL,CPCL-1613,BEARING BALL 6305 2RS
NTPC,NTPC-1614,BEARING BALL 6305 2RS
BHEL,BHEL-1615,BEARING BALL 6305 OPEN
ONGC,ONGC-1616,6305 OPEN BEARING BALL
CPCL,CPCL-1617,BEARING BALL 6310 ZZ
SAIL,SAIL-1618,BEARING BALL 6310 ZZ
NTPC,NTPC-1619,BEARING BALL 6310 2RS
CPCL,CPCL-1620,BEARING BALL 6310 OPEN
BHEL,BHEL-1621,6310 OPEN BEARING BALL
CPCL,CPCL-1622,GASKET SPW 2 INCH 150#
CPCL,CPCL-1623,150# SS304/PTFE GASKET SPW 2 INCH
ONGC,ONGC-1624,GASKET SPW 2 INCH 150# SS304/PTFE
SAIL,SAIL-1625,GASKET SPW 2 INCH 150# SS304/PTFE
BHEL,BHEL-1626,GASKET SPW 2 INCH 300# SS316/GRAPHITE
SAIL,SAIL-1627,300# SS316/GRAPHITE GASKET SPW 2 INCH
SAIL,SAIL-1628,"GASKET SPW 2 "" 300# SS304/PTFE"
SAIL,SAIL-1629,GASKET SPW 4 INCH 150#
ONGC,ONGC-1630,GASKET SPW 4 INCH 150#
NTPC,NTPC-1631,"GASKET SPW 4 "" 150# SS316/GRAPHITE"
CPCL,CPCL-1632,GASKET SPW 4 INCH 150# SS304/PTFE
SAIL,SAIL-1633,"GASKET SPW 4 "" 150# SS304/PTFE"
NTPC,NTPC-1634,GASKET SPW 4 INCH 300# SS316/GRAPHITE
SAIL,SAIL-1635,GASKET SPW 4 INCH 300#
ONGC,ONGC-1636,"GASKET SPW 6 "" 150# SS316/GRAPHITE"
CPCL,CPCL-1637,"GASKET SPW 6 "" 150# SS316/GRAPHITE"
ONGC,ONGC-1638,150# SS304/PTFE GASKET SPW 6 INCH
NTPC,NTPC-1639,GASKET SPW 6 INCH 150# SS304/PTFE
BHEL,BHEL-1640,"GASKET SPW 6 "" 150# SS304/PTFE"
SAIL,SAIL-1641,GASKET SPW 6 INCH 300# SS316/GRAPHITE
SAIL,SAIL-1642,GASKET SPW 6 INCH 300# SS304/PTFE
ONGC,ONGC-1643,300# SS304/PTFE GASKET SPW 6 INCH
NTPC,NTPC-1644,GASKET SPW 6 INCH 300# SS304/PTFE
NTPC,UNK-1645,SPARE PART KIT FOR MACHINE 1645
BHEL,UNK-1646,SPARE PART KIT FOR MACHINE 1646
BHEL,UNK-1647,SPARE PART KIT FOR MACHINE 1647
SAIL,UNK-1648,SPARE PART KIT FOR MACHINE 1648
BHEL,UNK-1649,SPARE PART KIT FOR MACHINE 1649
NTPC,UNK-1650,SPARE PART KIT FOR MACHINE 1650
CPCL,UNK-1651,SPARE PART KIT FOR MACHINE 1651
NTPC,UNK-1652,SPARE PART KIT FOR MACHINE 1652
BHEL,UNK-1653,SPARE PART KIT FOR MACHINE 1653
BHEL,UNK-1654,SPARE PART KIT FOR MACHINE 1654
